Model,MSO4032,,,,
Firmware Version,2.68,,,,
,,,,,
Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,4,,,Horizontal Scale,4.00E-08
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,0.004,,,Sample Interval,4.00E-10
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.02,,,Vertical Scale,0.02
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-2.00E+01,-0.0016,-0.0012,,-2.00E-06,-0.0016
-2.00E+01,-0.0024,-0.002,,-2.00E-06,-0.0008
-2.00E+01,-0.0024,0.018,,-2.00E-06,-0.0016
-2.00E+01,-0.0016,-0.0028,,-2.00E-06,-0.0016
-2.00E+01,-0.0024,-0.0044,,-2.00E-06,-0.0024
-2.00E+01,-0.0024,0.0196,,-2.00E-06,-0.0024
-2.00E+01,-0.0024,0.014,,-2.00E-06,-0.0048
-2.00E+01,-0.0016,-0.0036,,-2.00E-06,-0.0048
-2.00E+01,-0.004,0.0116,,-2.00E-06,-0.0032
-2.00E+01,-0.0008,0.0204,,-2.00E-06,-0.0024
-2.00E+01,-0.004,-0.0012,,-2.00E-06,-0.0032
-2.00E+01,-0.0048,-0.0012,,-2.00E-06,-0.0032
-2.00E+01,-0.0024,0.0172,,-2.00E-06,-0.0016
-1.99E+01,-0.0024,-0.002,,-1.99E-06,0
-1.99E+01,-0.0024,-0.0004,,-1.99E-06,-0.0008
-1.99E+01,-0.0016,0.0172,,-1.99E-06,-0.0024
-1.99E+01,-0.0024,-0.0012,,-1.99E-06,-0.0024
-1.99E+01,-0.0016,-0.0028,,-1.99E-06,-0.004
-1.99E+01,-0.0016,0.0196,,-1.99E-06,-0.004
-1.99E+01,-0.0048,-0.0052,,-1.99E-06,-0.0016
-1.99E+01,-0.0032,-0.0028,,-1.99E-06,-0.0024
-1.99E+01,0.0008,0.0172,,-1.99E-06,-0.0024
-1.99E+01,-0.0032,-0.0044,,-1.99E-06,-0.0024
-1.99E+01,-0.004,-0.002,,-1.99E-06,-0.0032
-1.99E+01,-0.0016,0.022,,-1.99E-06,-0.0016
-1.99E+01,-0.0024,0.0044,,-1.99E-06,-0.0024
-1.99E+01,-0.0032,-0.0044,,-1.99E-06,-0.0016
-1.99E+01,-0.0032,0.0156,,-1.99E-06,-0.0016
-1.99E+01,-0.0016,0.0196,,-1.99E-06,-0.0016
-1.99E+01,-0.0056,-0.0036,,-1.99E-06,-0.0016
-1.99E+01,-0.004,0.0036,,-1.99E-06,-0.0024
-1.99E+01,-0.0008,0.0188,,-1.99E-06,-0.0016
-1.99E+01,-0.0024,-0.002,,-1.99E-06,-0.0016
-1.99E+01,-0.0032,-0.0028,,-1.99E-06,-0.0016
-1.99E+01,-0.0024,0.0188,,-1.99E-06,-0.0032
-1.99E+01,-0.004,-0.002,,-1.99E-06,-0.0032
-1.99E+01,-0.004,-0.0012,,-1.99E-06,-0.0032
-1.99E+01,-0.0016,0.018,,-1.99E-06,-0.0032
-1.98E+01,-0.0032,-0.002,,-1.98E-06,-0.0032
-1.98E+01,-0.004,-0.0044,,-1.98E-06,-0.0032
-1.98E+01,-0.0016,0.0196,,-1.98E-06,-0.0016
-1.98E+01,-0.0016,-0.0052,,-1.98E-06,-0.0016
-1.98E+01,-0.004,-0.002,,-1.98E-06,-0.0008
-1.98E+01,0,0.0188,,-1.98E-06,-0.0016
-1.98E+01,-0.0008,-0.0044,,-1.98E-06,-0.0032
-1.98E+01,-0.004,-0.0036,,-1.98E-06,-0.0032
-1.98E+01,-0.0008,0.0188,,-1.98E-06,-0.0032
-1.98E+01,-0.0024,0.0204,,-1.98E-06,-0.0032
-1.98E+01,-0.0032,-0.0044,,-1.98E-06,-0.0032
-1.98E+01,-0.0016,0.0084,,-1.98E-06,-0.0016
-1.98E+01,-0.0016,0.0164,,-1.98E-06,-0.0008
-1.98E+01,-0.0016,-0.0052,,-1.98E-06,-0.0008
-1.98E+01,-0.0024,-0.002,,-1.98E-06,0
-1.98E+01,-0.0032,0.018,,-1.98E-06,0
-1.98E+01,-0.0032,-0.0036,,-1.98E-06,0.0008
-1.98E+01,-0.0024,-0.0012,,-1.98E-06,0.0008
-1.98E+01,-0.0016,0.0188,,-1.98E-06,0.0032
-1.98E+01,-0.0016,-0.0044,,-1.98E-06,0.0048
-1.98E+01,-0.0024,-0.0044,,-1.98E-06,0.0048
-1.98E+01,-0.004,0.018,,-1.98E-06,0.0072
-1.98E+01,-0.0032,-0.002,,-1.98E-06,0.008
-1.98E+01,-0.0024,-0.0012,,-1.98E-06,0.008
-1.98E+01,-0.0008,0.0172,,-1.98E-06,0.008
-1.97E+01,-0.0024,-0.002,,-1.97E-06,0.0072
-1.97E+01,-0.0024,-0.002,,-1.97E-06,0.0072
-1.97E+01,-0.0008,0.018,,-1.97E-06,0.0056
-1.97E+01,-0.0016,0.0116,,-1.97E-06,0.0072
-1.97E+01,-0.0016,-0.0028,,-1.97E-06,0.0064
-1.97E+01,-0.0032,0.0108,,-1.97E-06,0.0072
-1.97E+01,-0.0008,0.0188,,-1.97E-06,0.0072
-1.97E+01,-0.0032,-0.0044,,-1.97E-06,0.0072
-1.97E+01,-0.0024,0.0012,,-1.97E-06,0.0072
-1.97E+01,-0.0016,0.0188,,-1.97E-06,0.008
-1.97E+01,-0.0032,-0.0028,,-1.97E-06,0.0072
-1.97E+01,-0.0024,-0.0036,,-1.97E-06,0.0064
-1.97E+01,-0.0008,0.018,,-1.97E-06,0.0064
-1.97E+01,-0.0048,-0.002,,-1.97E-06,0.0056
-1.97E+01,-0.0032,-0.0036,,-1.97E-06,0.0064
-1.97E+01,-0.0024,0.018,,-1.97E-06,0.0048
-1.97E+01,-0.0024,-0.0044,,-1.97E-06,0.0056
-1.97E+01,-0.0024,-0.0044,,-1.97E-06,0.0072
-1.97E+01,-0.0016,0.0188,,-1.97E-06,0.0056
-1.97E+01,-0.0016,-0.0036,,-1.97E-06,0.0064
-1.97E+01,-0.0048,-0.0028,,-1.97E-06,0.0072
-1.97E+01,-0.0032,0.0188,,-1.97E-06,0.0072
-1.97E+01,-0.0024,0.0004,,-1.97E-06,0.008
-1.97E+01,-0.004,-0.0036,,-1.97E-06,0.0088
-1.97E+01,-0.0024,0.0188,,-1.97E-06,0.0072
-1.96E+01,-0.0024,0.0196,,-1.96E-06,0.0072
-1.96E+01,-0.0016,-0.0044,,-1.96E-06,0.0056
-1.96E+01,-0.0008,0.0052,,-1.96E-06,0.0072
-1.96E+01,-0.0016,0.0188,,-1.96E-06,0.0064
-1.96E+01,-0.004,-0.0044,,-1.96E-06,0.008
-1.96E+01,-0.004,-0.0044,,-1.96E-06,0.008
-1.96E+01,-0.0008,0.018,,-1.96E-06,0.0072
-1.96E+01,-0.004,-0.0036,,-1.96E-06,0.0072
-1.96E+01,-0.004,-0.0028,,-1.96E-06,0.0072
-1.96E+01,-0.0032,0.0196,,-1.96E-06,0.0072
-1.96E+01,-0.0024,-0.0036,,-1.96E-06,0.0064
-1.96E+01,-0.0024,-0.0028,,-1.96E-06,0.0064
-1.96E+01,-0.0008,0.0172,,-1.96E-06,0.0048
-1.96E+01,-0.0024,-0.0028,,-1.96E-06,0.0064
-1.96E+01,-0.0032,-0.002,,-1.96E-06,0.0064
-1.96E+01,-0.0016,0.0196,,-1.96E-06,0.0072
-1.96E+01,-0.0016,-0.0028,,-1.96E-06,0.008
-1.96E+01,-0.0016,-0.006,,-1.96E-06,0.008
-1.96E+01,-0.0032,0.0188,,-1.96E-06,0.008
-1.96E+01,-0.0008,0.0188,,-1.96E-06,0.0072
-1.96E+01,-0.004,-0.002,,-1.96E-06,0.0064
-1.96E+01,-0.0024,0.0092,,-1.96E-06,0.0064
-1.96E+01,-0.0016,0.018,,-1.96E-06,0.0064
-1.96E+01,-0.004,-0.0052,,-1.96E-06,0.0064
-1.96E+01,-0.004,-0.0028,,-1.96E-06,0.0072
-1.95E+01,-0.004,0.0172,,-1.95E-06,0.0072
-1.95E+01,-0.004,-0.0028,,-1.95E-06,0.0072
-1.95E+01,-0.0024,-0.0028,,-1.95E-06,0.0056
-1.95E+01,-0.0016,0.0172,,-1.95E-06,0.0056
-1.95E+01,-0.0024,-0.0028,,-1.95E-06,0.0064
-1.95E+01,-0.004,-0.0044,,-1.95E-06,0.0064
-1.95E+01,0.0008,0.0188,,-1.95E-06,0.0072
-1.95E+01,-0.0016,-0.002,,-1.95E-06,0.0072
-1.95E+01,-0.0032,-0.0044,,-1.95E-06,0.0088
-1.95E+01,-0.0024,0.0188,,-1.95E-06,0.0088
-1.95E+01,-0.0024,-0.002,,-1.95E-06,0.0072
-1.95E+01,-0.004,-0.0028,,-1.95E-06,0.0072
-1.95E+01,-0.0016,0.0188,,-1.95E-06,0.0064
-1.95E+01,-0.0008,0.0092,,-1.95E-06,0.0064
-1.95E+01,-0.0008,-0.0012,,-1.95E-06,0.0064
-1.95E+01,-0.0024,0.0156,,-1.95E-06,0.0072
-1.95E+01,-0.0008,0.0188,,-1.95E-06,0.008
-1.95E+01,-0.0056,-0.002,,-1.95E-06,0.0088
-1.95E+01,-0.004,-0.002,,-1.95E-06,0.0096
-1.95E+01,-0.0008,0.0188,,-1.95E-06,0.0088
-1.95E+01,-0.0024,-0.0036,,-1.95E-06,0.0096
-1.95E+01,-0.004,-0.0044,,-1.95E-06,0.008
-1.95E+01,-0.0008,0.018,,-1.95E-06,0.0072
-1.95E+01,-0.0024,-0.0036,,-1.95E-06,0.0072
-1.95E+01,-0.0032,-0.002,,-1.95E-06,0.0064
-1.94E+01,-0.0024,0.018,,-1.94E-06,0.0072
-1.94E+01,-0.0048,-0.002,,-1.94E-06,0.008
-1.94E+01,-0.0016,-0.0028,,-1.94E-06,0.0088
-1.94E+01,0,0.0172,,-1.94E-06,0.0088
-1.94E+01,-0.0024,-0.0036,,-1.94E-06,0.0096
-1.94E+01,-0.0024,-0.002,,-1.94E-06,0.0088
-1.94E+01,-0.0024,0.0172,,-1.94E-06,0.0064
-1.94E+01,-0.0016,-0.0012,,-1.94E-06,0.0048
-1.94E+01,-0.0032,-0.0052,,-1.94E-06,0.0048
-1.94E+01,-0.0032,0.0188,,-1.94E-06,0.0048
-1.94E+01,-0.0024,0.0196,,-1.94E-06,0.004
-1.94E+01,-0.004,-0.0036,,-1.94E-06,0.0032
-1.94E+01,-0.0024,0.0044,,-1.94E-06,0.004
-1.94E+01,-0.0024,0.0172,,-1.94E-06,0.004
-1.94E+01,-0.0024,-0.0028,,-1.94E-06,0.0032
-1.94E+01,-0.004,-0.0028,,-1.94E-06,0.0024
-1.94E+01,-0.0024,0.0172,,-1.94E-06,0.0016
-1.94E+01,-0.0064,-0.006,,-1.94E-06,0
-1.94E+01,-0.0032,-0.0052,,-1.94E-06,0
-1.94E+01,-0.0024,0.018,,-1.94E-06,0.0008
-1.94E+01,-0.004,-0.002,,-1.94E-06,0
-1.94E+01,-0.004,-0.0012,,-1.94E-06,-0.0008
-1.94E+01,-0.004,0.018,,-1.94E-06,-0.0016
-1.94E+01,-0.0032,-0.0052,,-1.94E-06,-0.0024
-1.94E+01,-0.004,-0.0052,,-1.94E-06,-0.0024
-1.93E+01,-0.0008,0.0204,,-1.93E-06,-0.0032
-1.93E+01,-0.0032,-0.0028,,-1.93E-06,-0.0048
-1.93E+01,-0.004,-0.0036,,-1.93E-06,-0.004
-1.93E+01,-0.0024,0.0204,,-1.93E-06,-0.0024
