Model,MSO4032,,,,
Firmware Version,2.68,,,,
,,,,,
Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,10,,,Horizontal Scale,4.00E-08
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,0.01,,,Sample Interval,4.00E-10
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.02,,,Vertical Scale,0.02
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-5.00E+01,-0.0024,-0.0052,,-2.00E-06,-0.0016
-5.00E+01,0.008,0.0076,,-2.00E-06,-0.0008
-5.00E+01,-0.0016,-0.0036,,-2.00E-06,-0.0016
-5.00E+01,-0.0032,-0.0036,,-2.00E-06,-0.0016
-5.00E+01,0.0072,0.0044,,-2.00E-06,-0.0024
-5.00E+01,-0.0016,0.006,,-2.00E-06,-0.0024
-4.99E+01,-0.0024,-0.0028,,-2.00E-06,-0.0048
-4.99E+01,0.0008,-0.0036,,-2.00E-06,-0.0048
-4.99E+01,0.0072,0.0068,,-2.00E-06,-0.0032
-4.99E+01,-0.0008,-0.0036,,-2.00E-06,-0.0024
-4.99E+01,-0.0048,-0.0052,,-2.00E-06,-0.0032
-4.99E+01,0.0064,0.0052,,-2.00E-06,-0.0032
-4.99E+01,-0.0024,-0.002,,-2.00E-06,-0.0016
-4.99E+01,-0.0016,-0.0044,,-1.99E-06,0
-4.99E+01,0.0072,0.002,,-1.99E-06,-0.0008
-4.99E+01,0.0056,0.0068,,-1.99E-06,-0.0024
-4.98E+01,-0.004,-0.0036,,-1.99E-06,-0.0024
-4.98E+01,-0.0024,-0.0052,,-1.99E-06,-0.004
-4.98E+01,0.0064,0.0052,,-1.99E-06,-0.004
-4.98E+01,-0.0024,-0.0052,,-1.99E-06,-0.0016
-4.98E+01,-0.0008,-0.0052,,-1.99E-06,-0.0024
-4.98E+01,0.0064,0.006,,-1.99E-06,-0.0024
-4.98E+01,0.0016,0.006,,-1.99E-06,-0.0024
-4.98E+01,-0.0008,-0.0036,,-1.99E-06,-0.0032
-4.98E+01,0.0008,-0.0044,,-1.99E-06,-0.0016
-4.98E+01,0.008,0.0052,,-1.99E-06,-0.0024
-4.97E+01,-0.0016,-0.002,,-1.99E-06,-0.0016
-4.97E+01,-0.0024,-0.0044,,-1.99E-06,-0.0016
-4.97E+01,0.0072,0.0052,,-1.99E-06,-0.0016
-4.97E+01,-0.0016,0.0004,,-1.99E-06,-0.0016
-4.97E+01,-0.0032,-0.0044,,-1.99E-06,-0.0024
-4.97E+01,0.0048,-0.002,,-1.99E-06,-0.0016
-4.97E+01,0.0064,0.0052,,-1.99E-06,-0.0016
-4.97E+01,-0.0024,-0.0044,,-1.99E-06,-0.0016
-4.97E+01,-0.0016,-0.0044,,-1.99E-06,-0.0032
-4.97E+01,0.0088,0.006,,-1.99E-06,-0.0032
-4.96E+01,-0.0024,-0.0044,,-1.99E-06,-0.0032
-4.96E+01,-0.0024,-0.0036,,-1.99E-06,-0.0032
-4.96E+01,0.008,0.0068,,-1.98E-06,-0.0032
-4.96E+01,0.0024,0.006,,-1.98E-06,-0.0032
-4.96E+01,-0.004,-0.0044,,-1.98E-06,-0.0016
-4.96E+01,-0.004,-0.0036,,-1.98E-06,-0.0016
-4.96E+01,0.0048,0.0068,,-1.98E-06,-0.0008
-4.96E+01,-0.0048,-0.0044,,-1.98E-06,-0.0016
-4.96E+01,-0.0024,-0.0052,,-1.98E-06,-0.0032
-4.96E+01,0.0056,0.0028,,-1.98E-06,-0.0032
-4.95E+01,-0.0016,0.002,,-1.98E-06,-0.0032
-4.95E+01,-0.0008,-0.0044,,-1.98E-06,-0.0032
-4.95E+01,0.0072,-0.0036,,-1.98E-06,-0.0032
-4.95E+01,0.0064,0.0068,,-1.98E-06,-0.0016
-4.95E+01,-0.0032,-0.002,,-1.98E-06,-0.0008
-4.95E+01,-0.0008,-0.0036,,-1.98E-06,-0.0008
-4.95E+01,0.0056,0.0052,,-1.98E-06,0
-4.95E+01,-0.0024,-0.0036,,-1.98E-06,0
-4.95E+01,0,-0.0044,,-1.98E-06,0.0008
-4.95E+01,0.0056,0.006,,-1.98E-06,0.0008
-4.94E+01,0.0016,0.0068,,-1.98E-06,0.0032
-4.94E+01,-0.0024,-0.0036,,-1.98E-06,0.0048
-4.94E+01,-0.0008,-0.0036,,-1.98E-06,0.0048
-4.94E+01,0.0056,0.0052,,-1.98E-06,0.0072
-4.94E+01,-0.004,-0.0004,,-1.98E-06,0.008
-4.94E+01,-0.0008,-0.0012,,-1.98E-06,0.008
-4.94E+01,0.0048,0.0052,,-1.98E-06,0.008
-4.94E+01,-0.0008,0.002,,-1.97E-06,0.0072
-4.94E+01,-0.0016,-0.0012,,-1.97E-06,0.0072
-4.94E+01,0.0064,-0.0052,,-1.97E-06,0.0056
-4.93E+01,0.0088,0.0028,,-1.97E-06,0.0072
-4.93E+01,-0.0024,-0.006,,-1.97E-06,0.0064
-4.93E+01,-0.0032,-0.0052,,-1.97E-06,0.0072
-4.93E+01,0.0064,0.0068,,-1.97E-06,0.0072
-4.93E+01,-0.0024,-0.0036,,-1.97E-06,0.0072
-4.93E+01,-0.0032,-0.0044,,-1.97E-06,0.0072
-4.93E+01,0.0056,0.0052,,-1.97E-06,0.008
-4.93E+01,0.0032,0.0084,,-1.97E-06,0.0072
-4.93E+01,-0.0024,-0.0052,,-1.97E-06,0.0064
-4.93E+01,-0.0024,-0.0036,,-1.97E-06,0.0064
-4.92E+01,0.0064,0.0084,,-1.97E-06,0.0056
-4.92E+01,-0.004,-0.0044,,-1.97E-06,0.0064
-4.92E+01,-0.0008,-0.0036,,-1.97E-06,0.0048
-4.92E+01,0.0064,0.0052,,-1.97E-06,0.0056
-4.92E+01,-0.0016,0.0044,,-1.97E-06,0.0072
-4.92E+01,-0.004,-0.002,,-1.97E-06,0.0056
-4.92E+01,0.0032,-0.0052,,-1.97E-06,0.0064
-4.92E+01,0.0048,0.0052,,-1.97E-06,0.0072
-4.92E+01,-0.0024,-0.0044,,-1.97E-06,0.0072
-4.92E+01,0,-0.0044,,-1.97E-06,0.008
-4.91E+01,0.0056,0.0044,,-1.97E-06,0.0088
-4.91E+01,-0.004,-0.002,,-1.97E-06,0.0072
-4.91E+01,-0.0008,-0.006,,-1.96E-06,0.0072
-4.91E+01,0.008,0.002,,-1.96E-06,0.0056
-4.91E+01,0.0064,0.0092,,-1.96E-06,0.0072
-4.91E+01,-0.0024,-0.0028,,-1.96E-06,0.0064
-4.91E+01,-0.0016,-0.0052,,-1.96E-06,0.008
-4.91E+01,0.0032,0.0036,,-1.96E-06,0.008
-4.91E+01,-0.0016,-0.0052,,-1.96E-06,0.0072
-4.91E+01,-0.0032,-0.0036,,-1.96E-06,0.0072
-4.90E+01,0.0072,0.0044,,-1.96E-06,0.0072
-4.90E+01,0.0008,0.006,,-1.96E-06,0.0072
-4.90E+01,-0.0032,-0.0044,,-1.96E-06,0.0064
-4.90E+01,-0.0016,-0.0044,,-1.96E-06,0.0064
-4.90E+01,0.008,0.0052,,-1.96E-06,0.0048
-4.90E+01,-0.0016,-0.0028,,-1.96E-06,0.0064
-4.90E+01,-0.0008,-0.0044,,-1.96E-06,0.0064
-4.90E+01,0.0072,0.0076,,-1.96E-06,0.0072
-4.90E+01,-0.0024,0.0012,,-1.96E-06,0.008
-4.90E+01,-0.0024,-0.006,,-1.96E-06,0.008
-4.89E+01,0.0088,-0.0036,,-1.96E-06,0.008
-4.89E+01,0.0072,0.006,,-1.96E-06,0.0072
-4.89E+01,-0.0032,-0.0044,,-1.96E-06,0.0064
-4.89E+01,-0.0024,-0.0052,,-1.96E-06,0.0064
-4.89E+01,0.0056,0.0044,,-1.96E-06,0.0064
-4.89E+01,-0.0024,-0.0044,,-1.96E-06,0.0064
-4.89E+01,-0.0024,-0.0044,,-1.96E-06,0.0072
-4.89E+01,0.0048,0.006,,-1.95E-06,0.0072
-4.89E+01,0.0008,0.0044,,-1.95E-06,0.0072
-4.89E+01,-0.0016,-0.0028,,-1.95E-06,0.0056
-4.88E+01,-0.0024,-0.0044,,-1.95E-06,0.0056
-4.88E+01,0.0072,0.006,,-1.95E-06,0.0064
-4.88E+01,-0.0016,-0.0036,,-1.95E-06,0.0064
-4.88E+01,-0.0008,-0.0044,,-1.95E-06,0.0072
-4.88E+01,0.0064,0.0044,,-1.95E-06,0.0072
-4.88E+01,-0.0024,0.0012,,-1.95E-06,0.0088
-4.88E+01,-0.0024,-0.0044,,-1.95E-06,0.0088
-4.88E+01,0.0056,-0.0044,,-1.95E-06,0.0072
-4.88E+01,0.0064,0.0044,,-1.95E-06,0.0072
-4.88E+01,-0.0048,-0.0036,,-1.95E-06,0.0064
-4.87E+01,0,-0.0044,,-1.95E-06,0.0064
-4.87E+01,0.0056,0.0044,,-1.95E-06,0.0064
-4.87E+01,-0.0016,-0.0044,,-1.95E-06,0.0072
-4.87E+01,-0.0024,-0.0028,,-1.95E-06,0.008
-4.87E+01,0.0056,0.006,,-1.95E-06,0.0088
-4.87E+01,0.0048,0.006,,-1.95E-06,0.0096
-4.87E+01,-0.0016,-0.0036,,-1.95E-06,0.0088
-4.87E+01,-0.004,-0.0044,,-1.95E-06,0.0096
-4.87E+01,0.0072,0.0044,,-1.95E-06,0.008
-4.87E+01,-0.0008,-0.0044,,-1.95E-06,0.0072
-4.86E+01,-0.004,-0.0052,,-1.95E-06,0.0072
-4.86E+01,0.0048,0.0068,,-1.95E-06,0.0064
-4.86E+01,-0.0032,0.002,,-1.94E-06,0.0072
-4.86E+01,-0.0024,-0.0036,,-1.94E-06,0.008
-4.86E+01,0.0048,-0.0052,,-1.94E-06,0.0088
-4.86E+01,0.0072,0.006,,-1.94E-06,0.0088
-4.86E+01,-0.0032,-0.0044,,-1.94E-06,0.0096
-4.86E+01,-0.0008,-0.0052,,-1.94E-06,0.0088
-4.86E+01,0.0048,0.0044,,-1.94E-06,0.0064
-4.86E+01,-0.0008,-0.0012,,-1.94E-06,0.0048
-4.85E+01,-0.0032,-0.0044,,-1.94E-06,0.0048
-4.85E+01,0.0072,0.0036,,-1.94E-06,0.0048
-4.85E+01,0.0048,0.006,,-1.94E-06,0.004
-4.85E+01,-0.0024,-0.0044,,-1.94E-06,0.0032
-4.85E+01,-0.0024,-0.0012,,-1.94E-06,0.004
-4.85E+01,0.0072,0.006,,-1.94E-06,0.004
-4.85E+01,-0.0024,-0.0036,,-1.94E-06,0.0032
-4.85E+01,-0.0032,-0.0044,,-1.94E-06,0.0024
-4.85E+01,0.0072,0.0044,,-1.94E-06,0.0016
-4.85E+01,0.0016,0.0052,,-1.94E-06,0
-4.84E+01,-0.0032,-0.0052,,-1.94E-06,0
-4.84E+01,-0.0008,-0.0052,,-1.94E-06,0.0008
-4.84E+01,0.008,0.0076,,-1.94E-06,0
-4.84E+01,-0.0016,-0.0036,,-1.94E-06,-0.0008
-4.84E+01,-0.0016,-0.0036,,-1.94E-06,-0.0016
-4.84E+01,0.004,0.0052,,-1.94E-06,-0.0024
-4.84E+01,-0.0048,0.0012,,-1.94E-06,-0.0024
-4.84E+01,-0.0024,-0.0036,,-1.93E-06,-0.0032
-4.84E+01,0.0072,-0.0036,,-1.93E-06,-0.0048
-4.84E+01,0.0072,0.0052,,-1.93E-06,-0.004
-4.83E+01,-0.0016,-0.0036,,-1.93E-06,-0.0024
-4.83E+01,-0.0032,-0.006,,-1.93E-06,-0.0032
-4.83E+01,0.0056,0.0052,,-1.93E-06,-0.0024
